,,,,,,,,,,,
,AMG Inventory list,,,,,,,,,,
,Highlight items to reorder?,,Yes,,,,,,,,
,,,,,,,,,,,
 ,Inventory ID,Name,Description,Quantity in stock,Reorder level,Expiration Date,Quantity in reorder,Expired?,Location,Manufacturer,Notes
,IN0197,Towel/Drap (poly-lined) 18X26,,140,,NA,,no,Storage room,,
,IN0202,Trash Bag Red (Biohazard Saftey Bag),,4,,NA,,,Storage room,,Each has 2 
,IN0215,Ultra under pad - Heavy 30X36in ,,14,,NA,,no,Storage room,,Each bag has 10 
,IN0200,Ultrasorbs med line ,,7,,NA,,no,Storage room,,
,IN0206,Universal fill kit ,,74,,2/28/27,,no,closet storage ,,
,IN0207,Universal fill kit ,,42,,2/28/29,,no,closet storage ,,
,IN0130,Vaseline ,,8,,NA,,no,Storage room,,
,IN0281,Vial Decanter 6 in ,,11,,8/28/27,,,closet storage ,,
,IN0282,Washable under pad (chux pad) ,,10,,NA,,no,Storage Room,,
,IN0109,white eye liner,,8,,NA,,no,Rooms,,
,IN0226,Woman arm  Style FV2L Large ,Garment,10,,,,,,,Long sleeve 
,IN0231,Woman arm medium ,Garment,1,,,,,,,Vest with an open bust 
,IN0230,Woman arm size small ,Garment,2,,,,,,,Vest with an open bust 
,IN0228,Woman arm style Fv2L Medium ,Garment,5,,,,,,,Long sleeve 
,IN0229,Woman arm style FV2L Small ,Garment,4,,,,,,,Long sleeve 
,IN0227,Woman arm style FV2L X-Large ,Garment,4,,,,,,,Long sleeve 
,,woman arm style FV2L- 2XL _ H ,Garment ,3,,,,,,,
,,woman arm style FV2L 3 XL -H ,Garment ,2,,,,,,,
,IN0229,Woman bra style B01G 32 B/C ,Garment,2,,,,,,,
,IN0230,Woman bra style B01G 32 D/E ,Garment ,2,,,,,,,
,IN0222,Woman bra Style B01G  size 34 AA/A,Garment,3,,,,,,,Original Bra
,IN0221,Woman bra Style B01G  size 34 B/C,Garment,6,,,,,,,Original Bra
,IN0223,Woman bra Style B01G size 34 D/E,Garment,3,,,,,,,Original Bra
